Year,No,Name,Topic,Summary
112,1,查忻,推展跨域學習成效與未來精進改善方向,<待更新>
112,2,湯蕙瑄,學生資訊科技素養與應用能力影響未來發展（就業）之分析,<待更新>
112,3,蘇南誠,自主學習在學業成績與就業表現之影響因素之策略,<待更新>
112,4,張升懋,問題解決能力培養影響未來發展(就業)之分析,<待更新>
112,5,張升懋,影響就學穩定度之正負因素分析,<待更新>
112,6,陳克瀚,影響本校經濟或文化不利學生國際移動學習相關活動因素分析,<待更新>
112,7,游以安,本校僑港澳招生之優勢/劣勢分析與未來可行策略 <br>本校僑港澳學生在課業學習、人際關係與生活適應初探,<待更新>
112,8,魏嘉宏,本校優勢、特色之研究,<待更新>
112,9,黃怡婷,本校學生參與職涯相關活動與校外實習對就業力影響之研究,<待更新>
111,1,查忻,招生專業化成效及跨域學習成效追蹤,招生專業化成效及跨域學習成效是本校近年來教務工作重點之一。本研究著眼的議題主要有三，第一為碩士班及學士班的招生成效，第二為學分學程優化意見調查及對課務影響分析，第三為學分學程及微學程課程文字雲分析。於第一項議題我們首先看碩士班筆試日期的選擇是否有助於整體碩士班學生素質的提升，接著探討學士班新生的多樣性指標是否隨著招生專業化的執行有所改變。於第二項議題中，透過學分學程優化意見調查，我們找尋學生不修微學程的理由，觀察過去行政措施對學生修習此類課程所帶來的影響，最後以微學程開設課程的缺額數預估學生取得微學程的人數，並探討如何避免學生無法通過取得微學程之畢業門檻的預防性因應之道。最後，我們透過本校與他校學分學程或微學程所開設課程名稱之文字雲分析，比較本校與它校之異同，表現出本校之強項與弱項，以其推出能夠有利於截長補短的修課政策。
111,2,馬國勳,境外生來本校修業期間的學習狀況、生活適應與滿意度分析,本文的主要研究目的，將特別聚焦於就讀於本校非以僑生管道入學的境外生，以線上訪談以及線上問卷的方法，了解他們過去之所以選擇來臺北大學就讀的原因與動機，並進一步了解他們來本校之後的學習情況與生活適應。希望透過這個研究能幫助我們思考，學校未來在境外招生上的優勢（或潛在劣勢）在哪，並了解境外生是如何得知本校或為何選擇本校，再進一步思索本校未來無論在教學或行政服務方面尚有哪些待精進之處。本研究經彙整了超過30位境外生的想法與建議，經整理後大致可以分成以下五項要點：1)持續優化網路宣傳（系所網頁&校首頁對於招生很重要）；2)持續提升教學品質，增加與強化英語教學成效；3)持續提供境外生學華語的機會；4)持續增進各行政單位的英文諮詢服務以及清楚指引；5)持續提供更多活動，並增進本地生與境外生交流的機會。文中將針對以上五點進行深入描述。
111,3,黃怡婷,本校學生(含大學部及研究所)學校宿舍供需調查,臺北大學三峽校區截至目前已有二期共四棟宿舍，每年提供近 1500 位學生住於校內，顯示出校方對滿足學生住宿需求的不遺餘力。為了瞭解學生目前的居住狀況，並收集學生對近年新增的性別友善樓層及未來可能興建的三期宿舍之看法，受學務處委託進行問卷調查。<br><br>研究分析結果發現學生對校內宿舍仍有不少的需求，且優先區學生較非優先區學生有住於校內宿舍的需求。對增設及申請性別友善樓層的態度上，性別不同雖會影響填答結果，但總體而言仍是中立偏贊成。若興建三期宿舍，超過九成以上學生會申請住於校內宿舍，且希望的房型為套房、單人房、全為上舖，可作為未來在興建三期宿舍之參考。宿生希望增加更多對宿舍提供建議的管道，校外住宿生則期望可以提供更詳盡的校外租屋資訊，保障學生住的權利。
111,4,蘇南誠,弱勢生獲高教獎學金學習成效分析,國立臺北大學（以下簡稱本校）為執行教育部高等教育深耕計畫（以下簡稱高教深耕計畫）「提升高教公共性：完善就學協助機制，有效促進社會流動」，落實關懷本校經濟不利學生，本校補助無數弱勢學生協助其順利就學並完成學業，期待能在學生求學生涯中，減輕經濟或非經濟上之壓力，使其在未來有更佳表現。<br><br>透過本校103-110年度在校學生、弱勢身份別、在學參與活動情況、借閱紀錄、成績平均PR值與107-109年畢業學生所填寫之畢業生流向調查問卷結果等資料，本計畫檢視現有政策對於弱勢學生的補助，於校園學習及畢業後發展是否有顯著效益。研究以平均值、標準差與人數及百分比摘要變數的敘述統計，輔以t檢定、卡方檢定、羅吉斯迴歸等統計工具，客觀地提供在弱勢生中，有無參加高等教育深耕計畫在借閱量、在校成績、畢業後一年就業比例及求職順利程度的差異。
111,5,張升懋,本校師生國際發表能量調查研究,本校師生國際發表能量的多寡會影響本校的國際聲譽，進而影響本校在世界大學排名的位置。有鑑於此本研究僅對本校教師及學生所發表之國際論文做分析，並提出意見。首先我們試著說明本校每位老師帶領學生發表國際論文的量偏少，應致力於提升各級研究人力。接著我們指出本校教師的自我引用數量也偏少，故論文的重要性評量指標 FWCI 有被低估之嫌。再來，本研究藉由本校近六年的論文發表，總結出可能的校內研究團隊。以結果論，似乎校內團隊多為系內合作，在跨領域合作上略顯不足。最後本研究制作一簡易儀表板，供視覺化校內教師國際發表研究能量。
111,6,林定香,本校國際合作傾向調查研究,國際合作已成為世界趨勢，且國際合作有利於學術資源的共享、師生交流、以及研究教學能量的提升，因此有必要掌握本校師生國際合作當前的經驗及未來傾向。為了瞭解本校國際合作經驗與傾向，本文將利用數據資料來研究本校近年來國際合作現況，以及未來國際合作之傾向，藉由研究結果定位本校學術研究與國際接軌的概況需求，也將明確界定未來交流的國際對象及合作方式。<br><br>本研究以國際處國際合作組網頁姊妹校合作備忘錄資料及國際教育發展組所提供的交換學生資料為主要材料並進行統計分析，利用統計來了解本校以往國際合作的趨勢情形。就學校方面而言，包括與境外大學及學術機構MOU、重點姊妹校數、藉此結果可瞭解本校國際合作在全球的分佈狀況及需加強的區域。就學生方面而言，探討學生際移動學習的情形，包含出國及來校交換學生的情形。另外並利用卡方檢定（Chi-Square test）來探討學生個人的背景資料及國際合作等變數的相關程度。
111,7,魏嘉宏,教師產學合作與研發能量分析,為精進本校於國際學術界與台灣社會的影響力，本研究分別針對「問題1：如何提升教師承接產學合作計畫案的積極性」以及「問題2：如何確認產學合作案與學術論文的正面連結」進行探討。本研究以本校最近五年之產學合作計畫案與學術研究獎助清冊為依據進行整理與分析，尋找教師在承接產學計畫案中的活躍研究者，並探究其與學術研究之間的關聯性，並建立本校教師之研究領域檔案，進一步歸納本校目前計畫案的承接狀況與建議方向，期待透過本研究之結果能提升本校之研究能量。
